zaman,boyut,kaynak_ip,hedef_ip,protokol,ttl,etiket,kaynak_port,hedef_port,bayraklar
1775640543.7229967,105,172.30.102.104,52.178.17.234,6,64,0,47436,443,PA
1775640543.8670423,105,52.178.17.234,172.30.102.104,6,104,0,443,47436,PA
1775640543.867726,66,172.30.102.104,52.178.17.234,6,64,0,47436,443,A
1775640551.0071628,90,172.30.102.104,185.125.190.57,17,64,0,48439,123,UDP
1775640550.4863005,90,185.125.190.57,172.30.102.104,17,48,0,123,48439,UDP
1775640563.2096941,74,172.30.102.104,169.254.169.254,6,64,0,52152,80,S
1775640564.237894,74,172.30.102.104,169.254.169.254,6,64,0,52152,80,S
1775640565.251964,74,172.30.102.104,169.254.169.254,6,64,0,52152,80,S
1775640569.890652,105,172.30.102.104,20.52.64.201,6,64,0,41086,443,PA
1775640569.9940553,105,20.52.64.201,172.30.102.104,6,105,0,443,41086,PA
1775640569.9945025,66,172.30.102.104,20.52.64.201,6,64,0,41086,443,A
1775640580.1467628,2389,172.30.102.104,20.52.64.201,6,64,0,41086,443,PA
1775640580.237594,66,20.52.64.201,172.30.102.104,6,105,0,443,41086,A
1775640580.2381012,165,20.52.64.201,172.30.102.104,6,105,0,443,41086,PA
1775640580.2383723,66,172.30.102.104,20.52.64.201,6,64,0,41086,443,A
1775640582.6415577,90,172.30.102.104,185.125.190.57,17,64,0,59219,123,UDP
1775640582.1303792,90,185.125.190.57,172.30.102.104,17,46,0,123,59219,UDP
1775640614.276695,90,172.30.102.104,185.125.190.57,17,64,0,44077,123,UDP
1775640613.9634893,90,185.125.190.57,172.30.102.104,17,48,0,123,44077,UDP
1775640622.085393,74,172.30.102.104,140.82.114.21,6,64,0,47042,443,S
1775640622.7232318,74,140.82.114.21,172.30.102.104,6,41,0,443,47042,SA
1775640622.723745,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640622.7245438,1760,172.30.102.104,140.82.114.21,6,64,0,47042,443,PA
1775640623.597301,66,140.82.114.21,172.30.102.104,6,41,0,443,47042,A
1775640623.5981576,1393,140.82.114.21,172.30.102.104,6,41,0,443,47042,A
1775640623.5985837,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640623.6012933,1393,140.82.114.21,172.30.102.104,6,41,0,443,47042,PA
1775640623.6017094,181,140.82.114.21,172.30.102.104,6,41,0,443,47042,PA
1775640623.6023529,1393,140.82.114.21,172.30.102.104,6,41,0,443,47042,A
1775640623.602829,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640623.6032808,78,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640623.603575,78,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640623.6250017,602,140.82.114.21,172.30.102.104,6,41,0,443,47042,PA
1775640623.6253648,78,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640623.985826,1393,140.82.114.21,172.30.102.104,6,41,0,443,47042,A
1775640623.98664,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640623.9890776,2720,172.30.102.104,140.82.114.21,6,64,0,47042,443,PA
1775640623.9895253,2683,172.30.102.104,140.82.114.21,6,64,0,47042,443,PA
1775640624.3364172,224,140.82.114.21,172.30.102.104,6,41,0,443,47042,PA
1775640624.337089,66,140.82.114.21,172.30.102.104,6,41,0,443,47042,A
1775640624.3801563,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640624.405479,66,140.82.114.21,172.30.102.104,6,41,0,443,47042,A
1775640624.5586169,653,140.82.114.21,172.30.102.104,6,41,0,443,47042,PA
1775640624.5596545,90,140.82.114.21,172.30.102.104,6,41,0,443,47042,PA
1775640624.56022,66,140.82.114.21,172.30.102.104,6,41,0,443,47042,FA
1775640624.56057,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640624.5608447,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,A
1775640624.5612917,90,172.30.102.104,140.82.114.21,6,64,0,47042,443,PA
1775640624.5616539,66,172.30.102.104,140.82.114.21,6,64,0,47042,443,FA
1775640624.8954594,54,140.82.114.21,172.30.102.104,6,41,0,443,47042,R
1775640628.4798892,105,172.30.102.104,20.52.64.201,6,64,0,41086,443,PA
1775640628.6333737,105,20.52.64.201,172.30.102.104,6,105,0,443,41086,PA
1775640628.63405,66,172.30.102.104,20.52.64.201,6,64,0,41086,443,A
1775640646.2221532,90,172.30.102.104,185.125.190.57,17,64,0,33426,123,UDP
1775640647.0334458,90,185.125.190.57,172.30.102.104,17,45,0,123,33426,UDP
1775640661.6868837,105,172.30.102.104,52.178.17.234,6,64,0,47436,443,PA
