zaman,boyut,kaynak_ip,hedef_ip,protokol,ttl,etiket,kaynak_port,hedef_port,bayraklar
1775650363.4077837,148,52.182.143.208,10.111.197.126,6,96,0,443,59501,PA
1775650363.4077837,89,10.111.197.126,52.182.143.208,6,128,0,59501,443,PA
1775650363.8295958,54,52.182.143.208,10.111.197.126,6,96,0,443,59501,A
1775650363.9606614,124,10.111.197.126,185.60.218.53,6,128,0,61325,443,PA
1775650364.1129372,54,185.60.218.53,10.111.197.126,6,81,0,443,61325,A
1775650364.1129372,126,185.60.218.53,10.111.197.126,6,81,0,443,61325,PA
1775650364.159456,54,10.111.197.126,185.60.218.53,6,128,0,61325,443,A
1775650364.6543703,55,10.111.197.126,150.171.27.11,6,128,0,59056,443,A
1775650364.712307,66,150.171.27.11,10.111.197.126,6,114,0,443,59056,A
1775650365.2671888,93,140.82.121.5,10.111.197.126,6,47,0,443,64575,PA
1775650365.2671888,54,10.111.197.126,140.82.121.5,6,128,0,64575,443,FA
1775650365.4475465,78,140.82.121.5,10.111.197.126,6,47,0,443,64575,PA
1775650365.4475465,54,140.82.121.5,10.111.197.126,6,47,0,443,64575,FA
1775650365.4475465,54,10.111.197.126,140.82.121.5,6,128,0,64575,443,RA
1775650366.0264888,55,10.111.197.126,160.79.104.10,6,128,0,60041,443,A
1775650366.094921,66,160.79.104.10,10.111.197.126,6,51,0,443,60041,A
1775650366.1962488,55,10.111.197.126,98.66.133.186,6,128,0,49520,443,A
1775650366.3639007,66,98.66.133.186,10.111.197.126,6,106,0,443,49520,A
1775650367.5654325,90,10.111.197.126,185.125.190.57,17,63,0,64286,123,UDP
1775650367.6840217,90,185.125.190.57,10.111.197.126,17,49,0,123,64286,UDP
1775650373.5599484,71,10.111.197.126,142.251.208.106,17,128,0,52638,443,UDP
1775650373.691119,66,142.251.208.106,10.111.197.126,17,52,0,443,52638,UDP
1775650373.8102598,55,10.111.197.126,140.82.113.26,6,128,0,53402,443,A
1775650374.1615016,66,140.82.113.26,10.111.197.126,6,42,0,443,53402,A
1775650376.8196278,78,172.64.148.235,10.111.197.126,6,51,0,443,49679,PA
1775650376.8196278,82,10.111.197.126,172.64.148.235,6,128,0,49679,443,PA
1775650376.914737,54,172.64.148.235,10.111.197.126,6,51,0,443,49679,A
1775650378.7989206,55,10.111.197.126,108.177.127.188,6,128,0,52235,5228,A
1775650378.967904,66,108.177.127.188,10.111.197.126,6,114,0,5228,52235,A
1775650378.9926696,206,142.251.208.106,10.111.197.126,17,52,0,443,52638,UDP
1775650379.0346978,74,10.111.197.126,142.251.208.106,17,128,0,52638,443,UDP
1775650382.9579444,54,20.50.80.214,10.111.197.126,6,103,0,443,49677,RA
1775650382.9590135,54,13.107.5.93,10.111.197.126,6,113,0,443,61311,RA
1775650384.3972654,93,140.82.114.21,10.111.197.126,6,42,0,443,56326,PA
1775650384.3972654,54,10.111.197.126,140.82.114.21,6,128,0,56326,443,FA
1775650384.7122762,78,140.82.114.21,10.111.197.126,6,42,0,443,56326,PA
1775650384.7122762,54,140.82.114.21,10.111.197.126,6,42,0,443,56326,FA
1775650384.7133286,54,10.111.197.126,140.82.114.21,6,128,0,56326,443,RA
1775650385.2177231,93,140.82.114.22,10.111.197.126,6,41,0,443,56208,PA
1775650385.2202287,54,10.111.197.126,140.82.114.22,6,128,0,56208,443,FA
1775650385.51791,78,140.82.114.22,10.111.197.126,6,41,0,443,56208,PA
1775650385.51791,54,140.82.114.22,10.111.197.126,6,41,0,443,56208,FA
1775650385.51791,54,10.111.197.126,140.82.114.22,6,128,0,56208,443,RA
1775650386.6532063,54,150.171.75.16,10.111.197.126,6,111,0,443,56325,RA
1775650386.9536293,124,10.111.197.126,185.60.218.53,6,128,0,61325,443,PA
1775650387.0184247,54,185.60.218.53,10.111.197.126,6,81,0,443,61325,A
1775650387.083955,126,185.60.218.53,10.111.197.126,6,81,0,443,61325,PA
1775650387.1271617,54,10.111.197.126,185.60.218.53,6,128,0,61325,443,A
1775650388.6904392,80,140.82.113.26,10.111.197.126,6,42,0,443,53402,PA
1775650388.6904392,84,10.111.197.126,140.82.113.26,6,128,0,53402,443,PA
1775650388.9967344,54,140.82.113.26,10.111.197.126,6,42,0,443,53402,A
1775650389.0307684,66,10.111.197.126,10.111.197.51,6,128,0,49676,53,S
1775650389.0307684,66,10.111.197.126,10.111.197.51,6,128,0,62106,53,S
1775650389.0373087,66,10.111.197.51,10.111.197.126,6,64,0,53,49676,SA
1775650389.0373087,66,10.111.197.51,10.111.197.126,6,64,0,53,62106,SA
