zaman,boyut,kaynak_ip,hedef_ip,protokol,ttl,etiket,kaynak_port,hedef_port,bayraklar
1775628558.417656,66,151.101.192.223,10.111.197.48,6,48,0,443,53339,SA
1775628558.4207008,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.4211376,251,10.111.197.48,151.101.192.223,6,128,0,53339,443,PA
1775628558.450381,1393,2.17.96.177,10.111.197.48,6,50,0,443,53338,A
1775628558.4508111,1393,2.17.96.177,10.111.197.48,6,51,0,443,53338,A
1775628558.4518795,1393,2.17.96.177,10.111.197.48,6,50,0,443,53338,A
1775628558.452329,85,2.17.96.177,10.111.197.48,6,50,0,443,53338,PA
1775628558.4535582,54,10.111.197.48,2.17.96.177,6,128,0,53338,443,A
1775628558.4539366,54,10.111.197.48,2.17.96.177,6,128,0,53338,443,A
1775628558.4601986,180,10.111.197.48,2.17.96.177,6,128,0,53338,443,PA
1775628558.5128808,54,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.5135016,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.5153804,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.5159245,631,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.5173879,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.5218627,147,10.111.197.48,151.101.192.223,6,128,0,53339,443,PA
1775628558.5430038,360,2.17.96.177,10.111.197.48,6,50,0,443,53338,PA
1775628558.5516138,387,10.111.197.48,2.17.96.177,6,128,0,53338,443,PA
1775628558.6018426,54,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.6022544,312,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.61321,141,10.111.197.48,151.101.192.223,6,128,0,53339,443,PA
1775628558.6137693,226,10.111.197.48,151.101.192.223,6,128,0,53339,443,PA
1775628558.637466,1393,2.17.96.177,10.111.197.48,6,50,0,443,53338,A
1775628558.6378274,116,2.17.96.177,10.111.197.48,6,50,0,443,53338,PA
1775628558.6414006,54,10.111.197.48,2.17.96.177,6,128,0,53338,443,A
1775628558.6889617,54,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.6893787,126,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.6980267,92,10.111.197.48,151.101.192.223,6,128,0,53339,443,PA
1775628558.6985345,54,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.6989746,444,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.6995158,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.6998935,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.700241,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7005825,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.700931,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7020664,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7034953,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7039049,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.705379,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7056866,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7059226,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7061405,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7064593,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.70679,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7070346,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.707523,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7086983,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7091095,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.709379,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7096078,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7101104,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7105296,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7143483,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7148497,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7156854,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7164326,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7169554,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7176175,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.719876,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.72044,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7207718,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7210152,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.721237,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7216034,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7227082,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7231517,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7235076,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.723862,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7248476,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7252796,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7269897,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.727786,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.728226,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.730787,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7311118,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.731347,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7318966,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7322004,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7328553,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.733253,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7344782,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.734856,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7392697,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7395773,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.73981,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7400212,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7825348,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7829857,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.783325,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.783677,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.78401,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.784332,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7846878,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7868328,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7872372,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7895129,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7898486,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7901127,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.790329,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.790545,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7908614,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7911127,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7914972,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.791829,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7924778,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7927716,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.793479,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7939222,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7947733,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7954597,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.795843,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.796347,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7966845,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7970333,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7974296,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.7976458,54,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.7978747,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7980795,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7982957,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7985,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7988055,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.7991557,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.799415,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8006473,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8010361,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8013923,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8017662,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8020387,173,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8023627,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.802679,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8029976,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8033695,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8035913,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8037994,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8040023,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8042037,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8044045,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.804738,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8050532,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8062167,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.806641,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.809505,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8100815,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8105392,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.813379,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8138034,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8143122,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8147354,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8168268,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8187838,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8190916,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8194692,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.820067,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8206286,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8211906,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8223207,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8230612,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8242948,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8246837,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.825172,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8256738,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8259246,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8261502,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8288584,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8292527,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8296957,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8300662,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.830456,943,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.830724,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8349202,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.835263,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8355281,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8594372,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8615644,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8623302,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8661706,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8666356,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8685722,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8725145,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8793232,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8810077,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,PA
1775628558.8813932,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
1775628558.8842077,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8876557,54,10.111.197.48,151.101.192.223,6,128,0,53339,443,A
1775628558.8905606,1393,151.101.192.223,10.111.197.48,6,48,0,443,53339,A
