paket_sayisi,ort_boyut,std_boyut,min_boyut,max_boyut,toplam_boyut,port_sayisi,etiket,hiz,buyuk_paket_orani
548,625.4744525547445,600.4339726151823,54,1393,342760,31,1,548.0,0.45985401459854014
254,524.8622047244095,547.4155093077773,54,1292,133315,25,1,254.0,0.38188976377952755
1421,948.6854327938072,538.3783569230284,54,1393,1348082,40,1,1421.0,0.7220267417311752
1336,1072.4214071856288,457.13357012436535,54,1292,1432755,28,1,1336.0,0.8218562874251497
395,701.4227848101266,588.6070159932593,54,1393,277062,30,1,395.0,0.5139240506329114
861,1014.226480836237,502.58217057678314,54,1393,873249,20,1,861.0,0.7746806039488966
258,772.1511627906976,561.3969412982509,58,1292,199215,9,1,258.0,0.5775193798449613
506,861.5830039525691,555.9805805673324,54,1393,435961,13,1,506.0,0.6482213438735178
214,749.126168224299,580.3935349126033,54,1292,160313,8,1,214.0,0.5514018691588785
531,868.6553672316384,551.8381324268772,54,1393,461256,11,1,531.0,0.6497175141242938
292,692.9075342465753,575.2654624131762,54,1292,202329,13,1,292.0,0.5068493150684932
500,789.396,559.8638533183805,58,1292,394698,5,1,500.0,0.588
467,814.3790149892934,562.9210068047136,58,1292,380315,10,1,467.0,0.6017130620985011
757,980.5165125495377,525.3259293698009,54,1393,742251,11,1,757.0,0.7424042272126816
725,856.6813793103448,562.224343013132,54,1393,621094,13,1,725.0,0.6427586206896552
326,852.7116564417178,543.4130965713356,54,1292,277984,9,1,326.0,0.6595092024539877
234,715.2435897435897,573.4622547097221,58,1292,167367,10,1,234.0,0.5213675213675214
200,722.545,561.5908737885729,58,1292,144509,9,1,200.0,0.555
238,894.1722689075631,554.4902625031967,58,1292,212813,8,1,238.0,0.6764705882352942
28,169.67857142857142,275.3730202190299,54,1175,4751,8,1,28.0,0.10714285714285714
140,668.3785714285714,569.5978446004548,54,1393,93573,12,1,140.0,0.5142857142857142
786,1029.5508905852416,492.2341611279853,54,1292,809227,6,1,786.0,0.7837150127226463
7,68.14285714285714,8.008923594519874,58,81,477,3,1,7.0,0.0
17,68.82352941176471,10.100960932738325,54,92,1170,5,1,17.0,0.0
8,63.625,15.564956059779197,54,92,509,5,1,8.0,0.0
6,67.83333333333333,12.812754062521712,54,85,407,5,1,6.0,0.0
10,108.3,57.586746160321766,58,204,1083,4,1,10.0,0.0
2,58.0,0.0,58,58,116,1,1,2.0,0.0
214,404.74766355140184,523.4010319561199,54,1393,86616,23,1,214.0,0.2803738317757009
40,298.425,428.6681752675132,54,1393,11937,9,1,40.0,0.25
136,900.6397058823529,644.4509310722676,54,1393,122487,3,1,136.0,0.6323529411764706
35,302.14285714285717,436.43058492982004,54,1393,10575,7,1,35.0,0.17142857142857143
1870,917.0251336898395,637.5572051542896,54,1393,1714837,22,1,1870.0,0.6443850267379679
3237,906.2730923694779,639.537180698979,54,1514,2933606,23,1,3237.0,0.6370095767686129
2710,938.7309963099631,633.3637396956673,54,1393,2543961,9,1,2710.0,0.6605166051660517
2973,917.8382105617221,639.3231903472405,54,1393,2728733,13,1,2973.0,0.6461486713757147
2299,926.2448890822096,637.5212152402429,54,1393,2129437,7,1,2299.0,0.6515876468029578
2331,935.5032175032175,634.8929079800603,54,1393,2180658,9,1,2331.0,0.6580866580866581
2574,934.8111888111888,635.2992875029935,54,1393,2406204,7,1,2574.0,0.6577311577311578
2252,942.3339253996447,632.8378079718547,54,1393,2122136,5,1,2252.0,0.6634103019538188
2313,940.9143968871596,633.3150925959113,54,1393,2176335,4,1,2313.0,0.6623432771292693
1911,942.4667713239141,632.8410417353642,54,1393,1801054,3,1,1911.0,0.663526949241235
1687,942.9834024896265,632.6668561346381,54,1393,1590813,6,1,1687.0,0.6639004149377593
1941,938.4786192684184,634.1186303053713,54,1393,1821587,6,1,1941.0,0.6604842864502833
1961,945.7603263640999,631.6871324821861,54,1393,1854636,3,1,1961.0,0.6659867414584396
2604,939.4880952380952,633.8034481174304,54,1393,2446427,5,1,2604.0,0.6612903225806451
903,905.9966777408638,641.4281088601878,54,1393,818115,9,1,903.0,0.6356589147286822
1341,897.7688292319165,644.7958038090418,54,1393,1203908,7,1,1341.0,0.6308724832214765
31,453.258064516129,531.4799442902769,58,1292,14051,7,1,31.0,0.2903225806451613
12,350.3333333333333,509.4478889102903,54,1393,4204,3,1,12.0,0.25
25,114.6,118.09918148178109,54,526,2865,6,1,25.0,0.04
16,59.0,9.521904571390468,54,78,944,7,1,16.0,0.0
7,59.714285714285715,11.29475225808112,54,85,418,4,1,7.0,0.0
13,172.15384615384616,397.2949882547069,54,1494,2238,6,1,13.0,0.07692307692307693
8,62.75,11.913377834542619,54,85,502,4,1,8.0,0.0
11,112.45454545454545,110.1184486236195,54,379,1237,7,1,11.0,0.0
167,528.2035928143713,607.0553709180967,54,1393,88210,10,1,167.0,0.3652694610778443
26,256.11538461538464,426.8170874670392,54,1393,6659,6,1,26.0,0.11538461538461539
102,430.5686274509804,516.2678809945592,54,1393,43918,11,1,102.0,0.3137254901960784
195,647.2564102564103,624.3345041643464,54,1393,126215,14,1,195.0,0.46153846153846156
44,309.72727272727275,465.2281442643435,54,1393,13628,11,1,44.0,0.18181818181818182
212,741.9575471698113,658.1497352568028,54,1393,157295,4,0,212.0,0.5094339622641509
6,59.833333333333336,12.432484332049917,54,85,359,3,0,6.0,0.0
19,94.0,66.59079015399452,54,241,1786,9,0,19.0,0.0
9,68.55555555555556,16.734030529964315,54,93,617,5,0,9.0,0.0
7,63.0,5.94418483337567,55,71,441,4,0,7.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
3,62.333333333333336,7.505553499465134,58,71,187,2,0,3.0,0.0
8,64.75,6.627863262664024,55,71,518,3,0,8.0,0.0
3,68.33333333333333,11.676186592091332,58,81,205,3,0,3.0,0.0
2,56.0,2.8284271247461903,54,58,112,2,0,2.0,0.0
5,68.0,11.135528725660043,58,84,340,3,0,5.0,0.0
8,76.375,31.144536324324093,54,125,611,5,0,8.0,0.0
4,99.5,72.1133367230593,58,207,398,3,0,4.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
2,58.0,0.0,58,58,116,1,0,2.0,0.0
