zaman,boyut,kaynak_ip,hedef_ip,protokol,ttl,etiket,kaynak_port,hedef_port,bayraklar
1775625870.3705218,92,10.111.197.48,10.111.197.51,17,128,1,53625,53,UDP
1775625870.3715317,54,10.111.197.48,192.178.24.65,6,128,1,60212,443,A
1775625870.3726695,1393,10.111.197.48,192.178.24.65,6,128,1,60212,443,A
1775625870.3732862,482,10.111.197.48,192.178.24.65,6,128,1,60212,443,PA
1775625870.3738506,79,10.111.197.48,10.111.197.51,17,128,1,50089,53,UDP
1775625870.374478,79,10.111.197.48,10.111.197.51,17,128,1,60611,53,UDP
1775625870.3754275,1292,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.3761783,66,34.160.122.198,10.111.197.48,6,116,1,443,62140,SA
1775625870.3772676,1212,216.239.38.120,10.111.197.48,17,50,1,443,57575,UDP
1775625870.377908,227,216.239.38.120,10.111.197.48,17,50,1,443,57575,UDP
1775625870.3813524,54,10.111.197.48,34.160.122.198,6,128,1,62140,443,A
1775625870.3821335,1393,10.111.197.48,34.160.122.198,6,128,1,62140,443,A
1775625870.3828962,537,10.111.197.48,34.160.122.198,6,128,1,62140,443,PA
1775625870.3836353,77,10.111.197.48,216.239.38.120,17,128,1,57575,443,UDP
1775625870.3842576,1022,142.251.127.84,10.111.197.48,6,115,1,443,61822,PA
1775625870.3966975,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.3991647,1292,142.251.127.84,10.111.197.48,17,51,1,443,50953,UDP
1775625870.3997724,1292,142.251.127.84,10.111.197.48,17,52,1,443,50953,UDP
1775625870.400553,327,142.251.127.84,10.111.197.48,17,52,1,443,50953,UDP
1775625870.4011433,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.4017065,958,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.4022796,66,3.160.57.104,10.111.197.48,6,242,1,443,53470,SA
1775625870.4050663,189,10.111.197.51,10.111.197.48,17,64,1,53,57427,UDP
1775625870.4068625,151,10.111.197.51,10.111.197.48,17,64,1,53,53273,UDP
1775625870.4076679,603,216.239.38.120,10.111.197.48,17,50,1,443,57575,UDP
1775625870.4083035,289,216.239.38.120,10.111.197.48,17,51,1,443,57575,UDP
1775625870.409626,149,10.111.197.51,10.111.197.48,17,64,1,53,60083,UDP
1775625870.4151733,332,10.111.197.51,10.111.197.48,17,64,1,53,53625,UDP
1775625870.4162564,54,10.111.197.48,3.160.57.104,6,128,1,53470,443,A
1775625870.4169054,74,10.111.197.48,142.251.127.84,17,128,1,50953,443,UDP
1775625870.4173622,81,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.418066,77,10.111.197.48,142.251.127.84,17,128,1,50953,443,UDP
1775625870.4187772,1393,10.111.197.48,3.160.57.104,6,128,1,53470,443,A
1775625870.4192598,443,10.111.197.48,3.160.57.104,6,128,1,53470,443,PA
1775625870.4197617,77,10.111.197.48,216.239.38.120,17,128,1,57575,443,UDP
1775625870.4201932,54,172.217.18.163,10.111.197.48,6,114,1,443,62514,A
1775625870.4214628,153,10.111.197.51,10.111.197.48,17,64,1,53,50089,UDP
1775625870.4227111,119,10.111.197.51,10.111.197.48,17,64,1,53,60611,UDP
1775625870.4233923,82,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.4237895,66,10.111.197.48,104.18.25.232,6,128,1,59081,443,S
1775625870.4244573,1292,10.111.197.48,192.178.24.42,17,128,1,50758,443,UDP
1775625870.4250143,1292,10.111.197.48,192.178.24.42,17,128,1,50758,443,UDP
1775625870.4253597,66,10.111.197.48,192.178.24.42,6,128,1,61153,443,S
1775625870.4258394,66,10.111.197.48,172.217.168.110,6,128,1,49273,443,S
1775625870.4265985,1292,10.111.197.48,142.251.127.84,17,128,1,50953,443,UDP
1775625870.4272022,343,10.111.197.48,142.251.127.84,17,128,1,50953,443,UDP
1775625870.4277084,65,192.178.24.10,10.111.197.48,17,51,1,443,57297,UDP
1775625870.4282157,125,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.4286897,115,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.4292278,803,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.4296339,54,10.111.197.48,142.251.127.84,6,128,1,61822,443,A
1775625870.434151,54,192.178.24.65,10.111.197.48,6,114,1,443,60212,A
1775625870.434579,54,192.178.24.65,10.111.197.48,6,114,1,443,60212,A
1775625870.4449527,54,34.160.122.198,10.111.197.48,6,116,1,443,62140,A
1775625870.4459596,74,10.111.197.48,216.239.38.120,17,128,1,57575,443,UDP
1775625870.4635715,624,172.217.18.163,10.111.197.48,6,114,1,443,62514,PA
1775625870.4640925,54,34.160.122.198,10.111.197.48,6,116,1,443,62140,A
1775625870.46464,1393,34.160.122.198,10.111.197.48,6,116,1,443,62140,A
1775625870.465069,715,172.217.18.163,10.111.197.48,6,114,1,443,62514,PA
1775625870.4654107,85,172.217.18.163,10.111.197.48,6,114,1,443,62514,PA
1775625870.4658747,93,172.217.18.163,10.111.197.48,6,114,1,443,62514,PA
1775625870.466601,1393,34.160.122.198,10.111.197.48,6,116,1,443,62140,PA
1775625870.4672704,549,34.160.122.198,10.111.197.48,6,116,1,443,62140,PA
1775625870.4677086,54,3.160.57.104,10.111.197.48,6,242,1,443,53470,A
1775625870.4680912,54,3.160.57.104,10.111.197.48,6,242,1,443,53470,A
1775625870.468528,66,104.18.25.232,10.111.197.48,6,51,1,443,59081,SA
1775625870.4689202,54,10.111.197.48,172.217.18.163,6,128,1,62514,443,A
1775625870.469253,54,10.111.197.48,172.217.18.163,6,128,1,62514,443,A
1775625870.4696772,93,10.111.197.48,172.217.18.163,6,128,1,62514,443,PA
1775625870.4701886,54,10.111.197.48,172.217.18.163,6,128,1,62514,443,FA
1775625870.470922,54,10.111.197.48,142.251.127.84,6,128,1,61822,443,FA
1775625870.471421,54,10.111.197.48,34.160.122.198,6,128,1,62140,443,A
1775625870.4718547,54,10.111.197.48,3.160.57.104,6,128,1,53470,443,FA
1775625870.4723425,54,10.111.197.48,104.18.25.232,6,128,1,59081,443,A
1775625870.4729192,54,10.111.197.48,104.18.25.232,6,128,1,59081,443,RA
1775625870.4739046,54,10.111.197.48,192.178.24.65,6,128,1,60212,443,FA
